wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
nosh,95,0.211111111,0.05,9.746794345,n/A/S/,_/_/n/a/S/_/_/,_/_/n/o/s/h/_/_/
not,1884855,4188.566667,0.763042264,100,n/A/t,_/_/n/a/t/_/_/,_/_/n/o/t/_/_/_/
notch,1736,3.857777778,0.144604219,41.66533331,n/A/tS/,_/_/n/a/C/_/_/,_/_/n/o/t/c/h/_/
note,44569,99.04222222,0.421356478,100,n/oU/t,_/_/n/o/t/_/_/,_/_/n/o/t/e/_/_/
nought,65,0.144444444,0.05,8.062257748,n/O/t,_/_/n/a/t/_/_/,_/_/n/o/u/g/h/t/
noun,667,1.482222222,0.08317671,25.82634314,n/AU/n,_/_/n/A/n/_/_/,_/_/n/o/u/n/_/_/
now,717562,1594.582222,0.674723525,100,n/AU/,_/_/n/A/_/_/_/,_/_/n/o/w/_/_/_/
nub,241,0.535555556,0.05,15.5241747,n/@/b,_/_/n/^/b/_/_/,_/_/n/u/b/_/_/_/
nude,2897,6.437777778,0.183577291,53.82378656,n/u/d,_/_/n/u/d/_/_/,_/_/n/u/d/e/_/_/
nudge,1074,2.386666667,0.111601298,32.77193922,n/@/dZ/,_/_/n/^/J/_/_/,_/_/n/u/d/g/e/_/
nuke,380,0.844444444,0.056006958,19.49358869,n/u/k,_/_/n/u/k/_/_/,_/_/n/u/k/e/_/_/
null,967,2.148888889,0.104941291,31.09662361,n/@/l,_/_/n/^/l/_/_/,_/_/n/u/l/l/_/_/
numb,2234,4.964444444,0.163380745,47.26520919,n/@/m,_/_/n/^/m/_/_/,_/_/n/u/m/b/_/_/
nun,2136,4.746666667,0.159977763,46.21688003,n/@/n,_/_/n/^/n/_/_/,_/_/n/u/n/_/_/_/
nurse,15003,33.34,0.323530044,100,n/@/rs,_/_/n/^/r/s/_/,_/_/n/u/r/s/e/_/
nut,3132,6.96,0.189785382,55.96427432,n/@/t,_/_/n/^/t/_/_/,_/_/n/u/t/_/_/_/
nuts,8824,19.60888889,0.27681733,93.93614853,n/@/ts,_/_/n/^/t/s/_/,_/_/n/u/t/s/_/_/
nymph,372,0.826666667,0.055120869,19.28730152,n/I/mf,_/_/n/I/m/f/_/,_/_/n/y/m/p/h/_/
oaf,105,0.233333333,0.05,10.24695077,/oU/f,_/_/_/o/f/_/_/,_/_/_/o/a/f/_/_/
oak,9617,21.37111111,0.284323735,98.0663041,/oU/k,_/_/_/o/k/_/_/,_/_/_/o/a/k/_/_/
oar,375,0.833333333,0.055454159,19.36491673,/oU/r,_/_/_/o/r/_/_/,_/_/_/o/a/r/_/_/
oars,545,1.211111111,0.072595293,23.34523506,/oU/rz,_/_/_/o/r/z/_/,_/_/_/o/a/r/s/_/
oat,553,1.228888889,0.073327934,23.51595203,/oU/t,_/_/_/o/t/_/_/,_/_/_/o/a/t/_/_/
oath,3816,8.48,0.205773398,61.77378085,/oU/T/,_/_/_/o/T/_/_/,_/_/_/o/a/t/h/_/
oaths,313,0.695555556,0.05,17.69180601,/oU/D/z,_/_/_/o/D/z/_/,_/_/_/o/a/t/h/s/
odd,13676,30.39111111,0.315315694,100,/A/d,_/_/_/a/d/_/_/,_/_/_/o/d/d/_/_/
odds,10970,24.37777778,0.295860689,100,/A/dz,_/_/_/a/d/z/_/,_/_/_/o/d/d/s/_/
ode,577,1.282222222,0.075491298,24.0208243,/oU/d,_/_/_/o/d/_/_/,_/_/_/o/d/e/_/_/
of,11971724,26603.83111,0.93215744,100,/@/v,_/_/_/^/v/_/_/,_/_/_/o/f/_/_/_/
off,334611,743.58,0.604993772,100,/O/f,_/_/_/a/f/_/_/,_/_/_/o/f/f/_/_/
