wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
blurt,1765,3.922222222,0.14580994,bl/@/rt,_/b/l/^/r/t/_/,_/b/l/u/r/t/_/_/,42.01190308
blurb,238,0.528888889,0.05,bl/@/rb,_/b/l/^/r/b/_/,_/b/l/u/r/b/_/_/,15.42724862
sold,235,0.522222222,0.05,s/oU/ld,_/_/s/o/l/d/_/,_/_/s/o/l/d/_/_/,15.32970972
sole,8433,18.74,0.272876443,s/oU/l,_/_/s/o/l/_/_/,_/_/s/o/l/e/_/_/,91.83136719
imp,278,0.617777778,0.05,/I/mp,_/_/_/I/m/p/_/,_/_/_/i/m/p/_/_/,16.673332
sheathe,407,0.904444444,0.058935692,/S/i/D/,_/_/S/i/D/_/_/,_/s/h/e/a/t/h/e/,20.174241
sweet,30353,67.45111111,0.386639291,sw/i/t,_/s/w/i/t/_/_/,_/s/w/e/e/t/_/_/,174.2211239
sweep,15457,34.34888889,0.326179181,sw/i/p,_/s/w/i/p/_/_/,_/s/w/e/e/p/_/_/,124.3261839
flight,34106,75.79111111,0.397157586,fl/aI/t,_/f/l/Y/t/_/_/,_/f/l/i/g/h/t/_/,184.6780983
cinch,1002,2.226666667,0.107173594,s/I/n/tS/,_/_/s/I/n/C/_/,_/_/c/i/n/c/h/_/,31.65438358
kick,25034,55.63111111,0.369296706,k/I/k,_/_/k/I/k/_/_/,_/_/k/i/c/k/_/_/,158.2213639
shirt,25138,55.86222222,0.369669308,/S/@/rt,_/_/S/^/r/t/_/,_/s/h/i/r/t/_/_/,158.5496768
shirk,302,0.671111111,0.05,/S/@/rk,_/_/S/^/r/k/_/,_/s/h/i/r/k/_/_/,17.3781472
frizz,199,0.442222222,0.05,fr/I/z,_/f/r/I/z/_/_/,_/f/r/i/z/z/_/_/,14.10673598
prince,16563,36.80666667,0.332328867,pr/I/ns,_/p/r/I/n/s/_/,_/p/r/i/n/c/e/_/,128.6973193
heart,97528,216.7288889,0.492502892,h/A/rt,_/_/h/a/r/t/_/,_/_/h/e/a/r/t/_/,312.2947326
range,70595,156.8777778,0.463095948,r/eI/n/dZ/,_/_/r/e/n/J/_/,_/_/r/a/n/g/e/_/,265.6971961
stench,1375,3.055555556,0.128091236,st/E/n/tS/,_/s/t/E/n/C/_/,_/s/t/e/n/c/h/_/,37.08099244
long,360831,801.8466667,0.611886794,l/O/N/,_/_/l/a/G/_/_/,_/_/l/o/n/g/_/_/,600.6921008
etch,1918,4.262222222,0.151920728,/E/tS/,_/_/_/E/C/_/_/,_/_/_/e/t/c/h/_/,43.79497688
peach,4911,10.91333333,0.226676021,p/i/tS/,_/_/p/i/C/_/_/,_/_/p/e/a/c/h/_/,70.07852738
peace,47366,105.2577778,0.426870981,p/i/s,_/_/p/i/s/_/_/,_/_/p/e/a/c/e/_/,217.637313
nick,789,1.753333333,0.092660182,n/I/k,_/_/n/I/k/_/_/,_/_/n/i/c/k/_/_/,28.08914381
nice,53631,119.18,0.438135223,n/i/s,_/_/n/Y/s/_/_/,_/_/n/i/c/e/_/_/,231.5836782
dale,69,0.153333333,0.05,d/eI/l,_/_/d/e/l/_/_/,_/_/d/a/l/e/_/_/,8.306623863
gang,14769,32.82,0.322134073,g/&/N/,_/_/g/@/G/_/_/,_/_/g/a/n/g/_/_/,121.5277746
gold,37590,83.53333333,0.405945653,g/oU/ld,_/_/g/o/l/d/_/,_/_/g/o/l/d/_/_/,193.8814071
breach,3986,8.857777778,0.209348425,br/i/tS/,_/b/r/i/C/_/_/,_/b/r/e/a/c/h/_/,63.13477647
fold,14375,31.94444444,0.31973437,f/oU/ld,_/_/f/o/l/d/_/,_/_/f/o/l/d/_/_/,119.8957881
toile,30,0.066666667,0.05,tw/A/l,_/t/w/a/l/_/_/,_/_/t/o/i/l/e/_/,5.477225575
folk,33052,73.44888889,0.394323648,f/oU/k,_/_/f/o/k/_/_/,_/_/f/o/l/k/_/_/,181.8020902
swoosh,232,0.515555556,0.05,sw/U/S/,_/s/w/U/S/_/_/,_/s/w/o/o/s/h/_/,15.23154621
gloat,584,1.297777778,0.076112762,gl/oU/t,_/g/l/o/t/_/_/,_/g/l/o/a/t/_/_/,24.16609195
vole,534,1.186666667,0.071578235,v/oU/l,_/_/v/o/l/_/_/,_/_/v/o/l/e/_/_/,23.10844002
duct,2549,5.664444444,0.173533232,d/@/kt,_/_/d/^/k/t/_/,_/_/d/u/c/t/_/_/,50.48762225
apt,2948,6.551111111,0.184960827,/&/pt,_/_/_/@/p/t/_/,_/_/_/a/p/t/_/_/,54.29548784
duck,13226,29.39111111,0.312353806,d/@/k,_/_/d/^/k/_/_/,_/_/d/u/c/k/_/_/,115.0043477
ape,2908,6.462222222,0.183877475,/eI/p,_/_/_/e/p/_/_/,_/_/_/a/p/e/_/_/,53.92587505
from,1884593,4187.984444,0.763029549,fr/@/m,_/f/r/^/m/_/_/,_/f/r/o/m/_/_/_/,1000
frog,5564,12.36444444,0.237191613,fr/A/g,_/f/r/a/g/_/_/,_/f/r/o/g/_/_/_/,74.5922248
tact,531,1.18,0.071298882,t/&/kt,_/_/t/@/k/t/_/,_/_/t/a/c/t/_/_/,23.04343724
tack,2876,6.391111111,0.183001461,t/&/k,_/_/t/@/k/_/_/,_/_/t/a/c/k/_/_/,53.62835071
