wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
band,28535,63.41111111,0.381073742,168.9230594,0.000427157,0.000331395,0.00036339,0.000394962,0.000416809,0.000419027,0.000395883,0.000349052,0.000286926,0.00022065,0.000159746,0.00010972,b/&/nd,_/_/b/@/n/d/_/,_/_/b/a/n/d/_/_/
bane,546,1.213333333,0.072687194,23.36664289,5.91E-05,0.000203595,0.000178307,0.000147186,0.000113213,8.05E-05,5.27E-05,3.18E-05,1.78E-05,9.26E-06,4.52E-06,2.10E-06,b/eI/n,_/_/b/e/n/_/_/,_/_/b/a/n/e/_/_/
bang,4936,10.96888889,0.227101666,70.25667228,0.000177659,0.000274717,0.000272233,0.000260834,0.00023799,0.000204154,0.000163274,0.000121328,8.39E-05,5.42E-05,3.29E-05,1.90E-05,b/&/N/,_/_/b/@/G/_/_/,_/_/b/a/n/g/_/_/
bangs,1716,3.813333333,0.14376333,41.42463035,0.000104751,0.000240587,0.000224577,0.000200058,0.000167873,0.000131362,9.53E-05,6.40E-05,3.99E-05,2.32E-05,1.27E-05,6.59E-06,b/&/N/z,_/_/b/@/G/z/_/,_/_/b/a/n/g/s/_/
bank,46389,103.0866667,0.424982291,215.3810577,0.000544636,0.000347093,0.000391595,0.000441219,0.000485382,0.000510438,0.000505409,0.000467461,0.000403265,0.000325515,0.000247388,0.000178372,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/k/_/_/
banks,23894,53.09777778,0.365109721,154.5768417,0.000390879,0.000325661,0.000353424,0.000379156,0.00039415,0.000389825,0.000362061,0.000313713,0.000253375,0.000191432,0.000136158,9.19E-05,b/&/N/ks,_/_/b/@/G/k/s/,_/_/b/a/n/k/s/_/
banns,19,0.042222222,0.05,4.358898944,1.10E-05,9.51E-05,6.95E-05,4.67E-05,2.86E-05,1.58E-05,7.92E-06,3.60E-06,1.50E-06,5.74E-07,2.05E-07,6.92E-08,b/&/nz,_/_/b/@/n/z/_/,_/_/b/a/n/n/s/_/
bans,1207,2.682222222,0.119256125,34.74190553,8.79E-05,0.00022922,0.000209792,0.000182506,0.00014904,0.000113192,7.95E-05,5.17E-05,3.12E-05,1.75E-05,9.26E-06,4.64E-06,b/&/nz,_/_/b/@/n/z/_/,_/_/b/a/n/s/_/_/
bar,35898,79.77333333,0.401783035,189.4676753,0.000479108,0.000338811,0.000376543,0.000416254,0.000447959,0.00046,0.000444317,0.000400704,0.000336979,0.000265141,0.000196409,0.000138032,b/A/r,_/_/b/a/r/_/_/,_/_/b/a/r/_/_/_/
barb,87,0.193333333,0.05,9.327379053,2.36E-05,0.000144263,0.000114317,8.40E-05,5.67E-05,3.50E-05,1.96E-05,1.01E-05,4.76E-06,2.08E-06,8.54E-07,3.31E-07,b/A/rb,_/_/b/a/r/b/_/,_/_/b/a/r/b/_/_/
